Carta=Allmageddon | Tipo=Attack | Set=DOP | EfeitoOficial=Sem texto de habilidade impresso. | Funcionamento=Ataque sem texto adicional: aplica apenas os danos impressos (base/elementais) na resolução do ataque. | Dano={base:10,fire:10,water:10,air:10,earth:10,mugic:0,adicional:N/A,janela:resolucao_do_ataque} | Condicoes={stat_check:N/A,challenge:N/A,elemento:N/A,disciplina:N/A,combate:N/A,alvo:N/A} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=instantaneo,durante_combate | TriggerExato=durante_resolucao_do_ataque | Alvos=criaturas_engajadas | Modificacoes={elementos:N/A,disciplinas:N/A,energy:N/A,keywords:N/A,battlegear:N/A,mugic:N/A,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:N/A,dano:N/A,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=N/A | Duracao=instantaneo
Carta=Swarming Destruction | Tipo=Attack | Set=ROTO | EfeitoOficial=If you control non-Danian Creatures, damage dealt by Swarming Destruction is reduced to 0. | Funcionamento=Efeito oficial: "If you control non-Danian Creatures, damage dealt by Swarming Destruction is reduced to 0.". Em regras, resolve na resolução do ataque, sob condição, gerando: attackDamageConditionalModifier. | Dano={base:5,fire:0,water:5,air:0,earth:5,mugic:0,adicional:attackDamageConditionalModifier,janela:resolucao_do_ataque} | Condicoes={stat_check:N/A,challenge:N/A,elemento:N/A,disciplina:N/A,combate:N/A,alvo:N/A} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=instantaneo,durante_combate,continuo | TriggerExato=durante_resolucao_do_ataque_condicional | Alvos=criaturas_engajadas | Modificacoes={elementos:N/A,disciplinas:N/A,energy:N/A,keywords:N/A,battlegear:N/A,mugic:N/A,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:altera_ataques,dano:altera_dano,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=N/A | Duracao=instantaneo
Carta=Taffial | Tipo=Creature | Set=ROTO | EfeitoOficial=Attacks played by Creatures you control deal an additional 5 damage if there is an Attack Card with the same name in your Attack Discard pile. | Funcionamento=Efeito oficial: "Attacks played by Creatures you control deal an additional 5 damage if there is an Attack Card with the same name in your Attack Discard pile.". Em regras, resolve quando o custo é pago e a habilidade resolve, gerando: attackDamageBonusIfSameNameInDiscard. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:attackDamageBonusIfSameNameInDiscard:5,janela:quando_habilidade_e_ativada} | Condicoes={stat_check:N/A,challenge:N/A,elemento:N/A,disciplina:N/A,combate:interacao_com_ataque,alvo:N/A} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:sim,passivo:sim,sem_custo:nao} | Classificacao=ativo | TriggerExato=activated_ability | Alvos=N/A | Modificacoes={elementos:N/A,disciplinas:N/A,energy:N/A,keywords:N/A,battlegear:N/A,mugic:N/A,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:altera_ataques,dano:altera_dano,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=descartar | Duracao=conforme_texto_da_carta
Carta=Tainted Thunderstorm | Tipo=Attack | Set=ROTO | EfeitoOficial=Challenge Mugic counters 1: Deal 20 damage | Funcionamento=Efeito oficial: "Challenge Mugic counters 1: Deal 20 damage". Em regras, resolve na resolução do ataque, gerando: conditionalDamage. | Dano={base:10,fire:0,water:20,air:0,earth:0,mugic:0,adicional:conditionalDamage:20,dano_condicional_por_texto_do_ataque,janela:resolucao_do_ataque} | Condicoes={stat_check:N/A,challenge:Mugic counters 1,elemento:N/A,disciplina:mugic,combate:N/A,alvo:N/A} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=instantaneo,durante_combate | TriggerExato=durante_resolucao_do_ataque | Alvos=criaturas_engajadas | Modificacoes={elementos:N/A,disciplinas:N/A,energy:N/A,keywords:N/A,battlegear:N/A,mugic:afeta_mugic,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:N/A,dano:altera_dano,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=N/A | Duracao=instantaneo
Carta=Takinom, The Shadowknight | Tipo=Creature | Set=ROTO | EfeitoOficial=Strike 10. MC: The next attack played by Takinom this turn counts as its first attack this combat. Swift 2. | Funcionamento=Efeito oficial: "Strike 10. MC: The next attack played by Takinom this turn counts as its first attack this combat. Swift 2.". Em regras, resolve quando o custo é pago e a habilidade resolve, gerando: keyword. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:N/A,janela:quando_habilidade_e_ativada} | Condicoes={stat_check:N/A,challenge:N/A,elemento:N/A,disciplina:N/A,combate:interacao_com_ataque,alvo:N/A} | Custos={mc:0,ativacao:MC,sacrificio:nao,descarte:nao,passivo:nao,sem_custo:nao} | Classificacao=ativo | TriggerExato=activated_ability | Alvos=N/A | Modificacoes={elementos:N/A,disciplinas:N/A,energy:N/A,keywords:concede/remove_keywords,battlegear:N/A,mugic:N/A,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:altera_ataques,dano:N/A,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=N/A | Duracao=ate_fim_do_combate_ou_por_combate
Carta=Tarbok | Tipo=Creature | Set=ROTO | EfeitoOficial=Waterproof 15. Hive: Tarbok has an additional 15 Energy. | Funcionamento=Efeito oficial: "Waterproof 15. Hive: Tarbok has an additional 15 Energy.". Em regras, resolve na janela definida pelo texto, gerando: hiveGranted, elementproof, statModifier. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:N/A,janela:conforme_trigger} | Condicoes={stat_check:N/A,challenge:N/A,elemento:N/A,disciplina:energy,combate:N/A,alvo:creature:all} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=continuo | TriggerExato=passivo_continuo_ou_condicional | Alvos=creature:all | Modificacoes={elementos:N/A,disciplinas:altera_disciplinas,energy:altera_energy,keywords:concede/remove_keywords,battlegear:N/A,mugic:N/A,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:N/A,dano:N/A,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=N/A | Duracao=continuo_enquanto_fonte_valida
Carta=Tasqa | Tipo=Creature | Set=ROTO | EfeitoOficial=MC: Deal 15 damage to target adjacent equipped Creature. | Funcionamento=Efeito oficial: "MC: Deal 15 damage to target adjacent equipped Creature.". Em regras, resolve quando o custo é pago e a habilidade resolve, gerando: dealDamage. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:deal:15,janela:quando_habilidade_e_ativada} | Condicoes={stat_check:N/A,challenge:N/A,elemento:N/A,disciplina:N/A,combate:N/A,alvo:creature:all} | Custos={mc:0,ativacao:MC,sacrificio:nao,descarte:nao,passivo:nao,sem_custo:nao} | Classificacao=ativo | TriggerExato=activated_ability | Alvos=creature:all | Modificacoes={elementos:N/A,disciplinas:N/A,energy:N/A,keywords:N/A,battlegear:N/A,mugic:N/A,habilidades:N/A,targeting:altera_regras_de_alvo,iniciativa:N/A,ataques:N/A,dano:altera_dano,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=escolha_de_alvo | Duracao=conforme_texto_da_carta
Carta=The Coralsmithy | Tipo=Location | Set=ROTO | EfeitoOficial=When an attack that has both Fire and Water is played by a Creature, its controller can swap one of that Creature's Battlegear with a Battlegear Card in its controller's general discard pile. | Funcionamento=Efeito textual oficial sem parsing completo: "When an attack that has both Fire and Water is played by a Creature, its controller can swap one of that Creature's Battlegear with a Battlegear Card in its controller's general discard pile.". Aplicar exatamente conforme o texto oficial e a janela indicada. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:N/A,janela:conforme_trigger} | Condicoes={stat_check:N/A,challenge:N/A,elemento:fire,water,disciplina:N/A,combate:interacao_com_ataque,alvo:N/A} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:sim,passivo:sim,sem_custo:nao} | Classificacao=ativo | TriggerExato=triggered_when_condition_occurs | Alvos=N/A | Modificacoes={elementos:N/A,disciplinas:N/A,energy:N/A,keywords:N/A,battlegear:afeta_battlegear,mugic:N/A,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:altera_ataques,dano:N/A,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=descartar | Duracao=conforme_texto_da_carta
Carta=The Oligarch's Path | Tipo=Location | Set=ROTO | EfeitoOficial=Chieftain Creatures have an additional 10 Energy. Creatures pay 4 less Mugic counters to play Mugic named Calling of Aa'une. | Funcionamento=Efeito textual oficial sem parsing completo: "Chieftain Creatures have an additional 10 Energy. Creatures pay 4 less Mugic counters to play Mugic named Calling of Aa'une.". Aplicar exatamente conforme o texto oficial e a janela indicada. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:N/A,janela:conforme_trigger} | Condicoes={stat_check:N/A,challenge:N/A,elemento:N/A,disciplina:energy,mugic,combate:N/A,alvo:N/A} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=continuo | TriggerExato=passivo_continuo_ou_condicional | Alvos=N/A | Modificacoes={elementos:N/A,disciplinas:N/A,energy:altera_energy,keywords:N/A,battlegear:N/A,mugic:afeta_mugic,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:N/A,dano:N/A,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=N/A | Duracao=continuo_enquanto_fonte_valida
Carta=The Rao'Pa Sahkk Chimegrid | Tipo=Location | Set=ROTO | EfeitoOficial=When this becomes the active Location, each player puts a Mugic counter on a Creature they control. | Funcionamento=Efeito textual oficial sem parsing completo: "When this becomes the active Location, each player puts a Mugic counter on a Creature they control.". Aplicar exatamente conforme o texto oficial e a janela indicada. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:N/A,janela:conforme_trigger} | Condicoes={stat_check:N/A,challenge:N/A,elemento:N/A,disciplina:mugic,combate:ao_ativar_location,alvo:location:active_or_target, jogadores:ambos} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=triggered | TriggerExato=when_location_becomes_active | Alvos=location:active_or_target, jogadores:ambos | Modificacoes={elementos:N/A,disciplinas:N/A,energy:N/A,keywords:N/A,battlegear:N/A,mugic:afeta_mugic,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:N/A,dano:N/A,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=aplicacao_automatica_simetrica | Duracao=efeito_pontual_ao_entrar_location
Carta=The Training Grounds | Tipo=Location | Set=ROTO | EfeitoOficial=At the beginning of combat, deal 5 damage to each engaged Creature for each Mugic counter on that Creature. When a Creature wins combat, put Mugic counters on that Creature equal to its Mugic Ability. | Funcionamento=Efeito oficial: "At the beginning of combat, deal 5 damage to each engaged Creature for each Mugic counter on that Creature. When a Creature wins combat, put Mugic counters on that Creature equal to its Mugic Ability.". Em regras, resolve no início do combate, gerando: dealDamage. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:deal:5,janela:inicio_do_combate} | Condicoes={stat_check:N/A,challenge:N/A,elemento:N/A,disciplina:mugic,mugic ability,combate:inicio_do_combate,alvo:creature:engaged} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=triggered | TriggerExato=beginning_of_combat | Alvos=creature:engaged | Modificacoes={elementos:N/A,disciplinas:N/A,energy:N/A,keywords:N/A,battlegear:N/A,mugic:afeta_mugic,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:N/A,dano:altera_dano,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=N/A | Duracao=conforme_texto_da_carta
Carta=Tidal Surge | Tipo=Attack | Set=ROTO | EfeitoOficial=If the opposing engaged Creature has a Mugic counter, damage dealt by Tidal Surge is reduced to 0. | Funcionamento=Efeito oficial: "If the opposing engaged Creature has a Mugic counter, damage dealt by Tidal Surge is reduced to 0.". Em regras, resolve na resolução do ataque, sob condição, gerando: attackDamageConditionalModifier. | Dano={base:0,fire:0,water:5,air:0,earth:0,mugic:0,adicional:attackDamageConditionalModifier,janela:resolucao_do_ataque} | Condicoes={stat_check:N/A,challenge:N/A,elemento:N/A,disciplina:mugic,combate:N/A,alvo:creature:opponent, creature:opposing_engaged, creature:engaged} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=instantaneo,durante_combate,continuo | TriggerExato=durante_resolucao_do_ataque_condicional | Alvos=creature:opponent, creature:opposing_engaged, creature:engaged | Modificacoes={elementos:N/A,disciplinas:N/A,energy:N/A,keywords:N/A,battlegear:N/A,mugic:afeta_mugic,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:altera_ataques,dano:altera_dano,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=N/A | Duracao=instantaneo
Carta=Unheard Melody | Tipo=Mugic | Set=ROTO | EfeitoOficial=Destroy target Creature with no Mugic counters on it. | Funcionamento=Efeito textual oficial sem parsing completo: "Destroy target Creature with no Mugic counters on it.". Aplicar exatamente conforme o texto oficial e a janela indicada. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:N/A,janela:conforme_trigger} | Condicoes={stat_check:N/A,challenge:N/A,elemento:N/A,disciplina:mugic,combate:N/A,alvo:creature:all} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=passivo | TriggerExato=passivo_continuo_ou_condicional | Alvos=creature:all | Modificacoes={elementos:N/A,disciplinas:N/A,energy:N/A,keywords:N/A,battlegear:N/A,mugic:afeta_mugic,habilidades:N/A,targeting:altera_regras_de_alvo,iniciativa:N/A,ataques:N/A,dano:N/A,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=escolha_de_alvo | Duracao=conforme_texto_da_carta
Carta=Vexing Waveform | Tipo=Mugic | Set=ROTO | EfeitoOficial=Target Creature gains Recklessness 5. As Vexing Waveform is played, its caster can pay an additional 2 Mugic counters. If the caster does, the target Creature gains an additional Recklessness 5. | Funcionamento=Efeito oficial: "Target Creature gains Recklessness 5. As Vexing Waveform is played, its caster can pay an additional 2 Mugic counters. If the caster does, the target Creature gains an additional Recklessness 5.". Em regras, resolve na janela definida pelo texto, gerando: keyword. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:N/A,janela:conforme_trigger} | Condicoes={stat_check:N/A,challenge:N/A,elemento:N/A,disciplina:mugic,combate:N/A,alvo:creature:self, creature:all} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=continuo | TriggerExato=passivo_continuo_ou_condicional | Alvos=creature:self, creature:all | Modificacoes={elementos:N/A,disciplinas:N/A,energy:N/A,keywords:concede/remove_keywords,battlegear:N/A,mugic:afeta_mugic,habilidades:N/A,targeting:altera_regras_de_alvo,iniciativa:N/A,ataques:N/A,dano:N/A,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=escolha_de_alvo | Duracao=continuo_enquanto_fonte_valida
Carta=Vial of Liquid Thought | Tipo=Battlegear | Set=ROTO | EfeitoOficial=Sacrifice Vial of Liquid Thought: Return an Attack Card from your Attack Discard pile to your hand. If you do, place one Attack Card from your hand on the bottom of your Attack Deck. | Funcionamento=Efeito textual oficial sem parsing completo: "Sacrifice Vial of Liquid Thought: Return an Attack Card from your Attack Discard pile to your hand. If you do, place one Attack Card from your hand on the bottom of your Attack Deck.". Aplicar exatamente conforme o texto oficial e a janela indicada. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:N/A,janela:quando_habilidade_e_ativada} | Condicoes={stat_check:N/A,challenge:N/A,elemento:N/A,disciplina:N/A,combate:interacao_com_ataque,alvo:N/A} | Custos={mc:0,ativacao:Sacrifice Vial of Liquid Thought,sacrificio:sim,descarte:sim,passivo:nao,sem_custo:nao} | Classificacao=ativo | TriggerExato=activated_ability | Alvos=N/A | Modificacoes={elementos:N/A,disciplinas:N/A,energy:N/A,keywords:N/A,battlegear:N/A,mugic:N/A,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:altera_ataques,dano:N/A,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=descartar | Duracao=conforme_texto_da_carta
Carta=Vitar'zu | Tipo=Creature | Set=ROTO | EfeitoOficial=Intimidate: Speed 30. Earthproof 25. Vitar'zu deals an additional 5 attack damage to Mipedian Creatures. | Funcionamento=Efeito oficial: "Intimidate: Speed 30. Earthproof 25. Vitar'zu deals an additional 5 attack damage to Mipedian Creatures.". Em regras, resolve na janela definida pelo texto, gerando: elementproof, intimidate. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:intimidate:30,janela:conforme_trigger} | Condicoes={stat_check:N/A,challenge:N/A,elemento:N/A,disciplina:speed,combate:interacao_com_ataque,alvo:creature:all} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=passivo | TriggerExato=passivo_continuo_ou_condicional | Alvos=creature:all | Modificacoes={elementos:N/A,disciplinas:altera_disciplinas,energy:N/A,keywords:concede/remove_keywords,battlegear:N/A,mugic:N/A,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:altera_ataques,dano:altera_dano,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=N/A | Duracao=conforme_texto_da_carta
Carta=Wamma, Hive Ordnance | Tipo=Creature | Set=ROTO | EfeitoOficial=When a Mandiblor Creature Card is put into play from a general discard pile, put a Mugic counter on Wamma. Battlegear equipped to Infected Creatures are not flipped face-up when those Creatures become engaged. | Funcionamento=Efeito oficial: "When a Mandiblor Creature Card is put into play from a general discard pile, put a Mugic counter on Wamma. Battlegear equipped to Infected Creatures are not flipped face-up when those Creatures become engaged.". Em regras, resolve na janela definida pelo texto, gerando: mugicCounterModifier. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:N/A,janela:conforme_trigger} | Condicoes={stat_check:N/A,challenge:N/A,elemento:N/A,disciplina:mugic,combate:N/A,alvo:creature:self, battlegear:target} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:sim,passivo:sim,sem_custo:nao} | Classificacao=ativo | TriggerExato=triggered_when_condition_occurs | Alvos=creature:self, battlegear:target | Modificacoes={elementos:N/A,disciplinas:N/A,energy:N/A,keywords:N/A,battlegear:afeta_battlegear,mugic:afeta_mugic,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:N/A,dano:N/A,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=descartar | Duracao=conforme_texto_da_carta
Carta=Arctus, Heptadd's Squire | Tipo=Creature | Set=FAS | EfeitoOficial=At the beginning of combat, Arctus gains all Elemental Types your adjacent Creatures have. | Funcionamento=Efeito oficial: "At the beginning of combat, Arctus gains all Elemental Types your adjacent Creatures have.". Em regras, resolve no início do combate, gerando: beginCombatGainElementsFromAllies. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:N/A,janela:inicio_do_combate} | Condicoes={stat_check:N/A,challenge:N/A,elemento:N/A,disciplina:N/A,combate:inicio_do_combate,alvo:creature:self} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=triggered,continuo | TriggerExato=beginning_of_combat | Alvos=creature:self | Modificacoes={elementos:concede/remove/modifica_elementos,disciplinas:N/A,energy:N/A,keywords:N/A,battlegear:N/A,mugic:N/A,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:N/A,dano:N/A,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=N/A | Duracao=continuo_enquanto_fonte_valida
Carta=Armor of Earthen Might | Tipo=Battlegear | Set=FAS | EfeitoOficial=Damage dealt by Mugic or activated abilities to equipped Creature with Earth is reduced by 10. This Battlegear begins the game face-up. | Funcionamento=Efeito oficial: "Damage dealt by Mugic or activated abilities to equipped Creature with Earth is reduced by 10. This Battlegear begins the game face-up.". Em regras, resolve na janela definida pelo texto, gerando: incomingDamageReduction, startsFaceUp. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:incomingDamageReduction:10,janela:conforme_trigger} | Condicoes={stat_check:N/A,challenge:N/A,elemento:earth,disciplina:mugic,combate:N/A,alvo:creature:all} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=continuo | TriggerExato=passivo_continuo_ou_condicional | Alvos=creature:all | Modificacoes={elementos:N/A,disciplinas:N/A,energy:N/A,keywords:N/A,battlegear:afeta_battlegear,mugic:afeta_mugic,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:N/A,dano:altera_dano,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=N/A | Duracao=continuo_enquanto_fonte_valida
Carta=Aszil, the Young Queen | Tipo=Creature | Set=FAS | EfeitoOficial=At the beginning of combat, Danian Creatures you control gain Earth. Hive: Mandiblor Creatures you control have Earth 5. | Funcionamento=Efeito oficial: "At the beginning of combat, Danian Creatures you control gain Earth. Hive: Mandiblor Creatures you control have Earth 5.". Em regras, resolve no início do combate, gerando: hiveGranted, gainElement, elementModifier. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:N/A,janela:inicio_do_combate} | Condicoes={stat_check:N/A,challenge:N/A,elemento:earth,disciplina:N/A,combate:inicio_do_combate,alvo:N/A} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=triggered,continuo | TriggerExato=beginning_of_combat | Alvos=N/A | Modificacoes={elementos:concede/remove/modifica_elementos,disciplinas:N/A,energy:N/A,keywords:concede/remove_keywords,battlegear:N/A,mugic:N/A,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:N/A,dano:N/A,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=N/A | Duracao=continuo_enquanto_fonte_valida
Carta=Bidua | Tipo=Creature | Set=FAS | EfeitoOficial=Expend Earth while engaged: The opposing engaged Creature loses Invisibility. | Funcionamento=Efeito oficial: "Expend Earth while engaged: The opposing engaged Creature loses Invisibility.". Em regras, resolve quando o custo é pago e a habilidade resolve, gerando: removeInvisibility. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:N/A,janela:quando_habilidade_e_ativada} | Condicoes={stat_check:N/A,challenge:N/A,elemento:earth,disciplina:N/A,combate:N/A,alvo:creature:opponent, creature:opposing_engaged, creature:engaged} | Custos={mc:0,ativacao:Expend Earth while engaged,sacrificio:nao,descarte:nao,passivo:nao,sem_custo:nao} | Classificacao=ativo,continuo | TriggerExato=activated_ability | Alvos=creature:opponent, creature:opposing_engaged, creature:engaged | Modificacoes={elementos:N/A,disciplinas:N/A,energy:N/A,keywords:concede/remove_keywords,battlegear:N/A,mugic:N/A,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:N/A,dano:N/A,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=N/A | Duracao=enquanto_condicao_for_verdadeira
Carta=Bodal, Flamedrill Researcher | Tipo=Creature | Set=FAS | EfeitoOficial=Expend Earth: Return target Battlegear Card in your general discard pile to play equipped to another unequipped Creature you control. Expend Fire: Destroy a Battlegear you control. If you do, destroy target Battlegear. | Funcionamento=Efeito oficial: "Expend Earth: Return target Battlegear Card in your general discard pile to play equipped to another unequipped Creature you control. Expend Fire: Destroy a Battlegear you control. If you do, destroy target Battlegear.". Em regras, resolve quando o custo é pago e a habilidade resolve, gerando: destroyBattlegear. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:N/A,janela:quando_habilidade_e_ativada} | Condicoes={stat_check:N/A,challenge:N/A,elemento:earth,fire,disciplina:N/A,combate:N/A,alvo:battlegear:all, battlegear:any, battlegear:target} | Custos={mc:0,ativacao:Expend Earth; Expend Fire,sacrificio:nao,descarte:sim,passivo:nao,sem_custo:nao} | Classificacao=ativo | TriggerExato=activated_ability | Alvos=battlegear:all, battlegear:any, battlegear:target | Modificacoes={elementos:N/A,disciplinas:N/A,energy:N/A,keywords:N/A,battlegear:afeta_battlegear,mugic:N/A,habilidades:N/A,targeting:altera_regras_de_alvo,iniciativa:N/A,ataques:N/A,dano:N/A,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=descartar,escolha_de_alvo | Duracao=conforme_texto_da_carta
Carta=Cyrenox | Tipo=Creature | Set=FAS | EfeitoOficial=If all Creatures you control have Fire, Cyrenox deals an additional 5 damage with attacks. | Funcionamento=Efeito oficial: "If all Creatures you control have Fire, Cyrenox deals an additional 5 damage with attacks.". Em regras, resolve na janela definida pelo texto, gerando: attackDamageIfAlliesHaveElement. | Dano={base:0,fire:0,water:0,air:0,earth:0,mugic:0,adicional:attackDamageIfAlliesHaveElement:5,janela:conforme_trigger} | Condicoes={stat_check:N/A,challenge:N/A,elemento:fire,disciplina:N/A,combate:interacao_com_ataque,alvo:N/A} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=passivo | TriggerExato=passivo_continuo_ou_condicional | Alvos=N/A | Modificacoes={elementos:N/A,disciplinas:N/A,energy:N/A,keywords:N/A,battlegear:N/A,mugic:N/A,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:altera_ataques,dano:altera_dano,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=N/A | Duracao=conforme_texto_da_carta
Carta=Emberwhip | Tipo=Attack | Set=FAS | EfeitoOficial=If the opposing engaged Creature has Water, deal 10 damage. | Funcionamento=Efeito oficial: "If the opposing engaged Creature has Water, deal 10 damage.". Em regras, resolve na resolução do ataque, sob condição, gerando: dealDamage. | Dano={base:5,fire:10,water:0,air:0,earth:0,mugic:0,adicional:deal:10,janela:resolucao_do_ataque} | Condicoes={stat_check:N/A,challenge:N/A,elemento:water,disciplina:N/A,combate:N/A,alvo:creature:opposing_engaged, creature:engaged} | Custos={mc:0,ativacao:N/A,sacrificio:nao,descarte:nao,passivo:sim,sem_custo:sim} | Classificacao=instantaneo,durante_combate | TriggerExato=durante_resolucao_do_ataque_condicional | Alvos=creature:opposing_engaged, creature:engaged | Modificacoes={elementos:N/A,disciplinas:N/A,energy:N/A,keywords:N/A,battlegear:N/A,mugic:N/A,habilidades:N/A,targeting:N/A,iniciativa:N/A,ataques:N/A,dano:altera_dano,imunidades:N/A,restricoes:N/A} | ManipulacaoDeckMao=N/A | Duracao=instantaneo
